fips,county_name,households,population
48397,"Rockwall County, TX",39513,137044
48399,"Runnels County, TX",3800,9751
48401,"Rusk County, TX",17963,53391
48403,"Sabine County, TX",4469,10058
48405,"San Augustine County, TX",3017,7767
48407,"San Jacinto County, TX",10480,29326
48409,"San Patricio County, TX",24496,71467
48411,"San Saba County, TX",2095,5508
48413,"Schleicher County, TX",919,2302
48415,"Scurry County, TX",5931,16211
48417,"Shackelford County, TX",1329,3169
48419,"Shelby County, TX",9177,24192
48421,"Sherman County, TX",842,2771
48423,"Smith County, TX",81690,249091
48425,"Somervell County, TX",3562,10098
48427,"Starr County, TX",18692,66587
48429,"Stephens County, TX",3560,9475
48431,"Sterling County, TX",402,1387
48433,"Stonewall County, TX",476,1235
48435,"Sutton County, TX",1236,3269
48437,"Swisher County, TX",2453,6877
48439,"Tarrant County, TX",769285,2230708
